date,value
1902-01-01,46.0746654367685
1902-02-01,22.5052138707909
1902-03-01,39.5408950253733
1902-04-01,34.4533044088443
1902-05-01,43.684574221826
1902-06-01,33.5567422438935
1902-07-01,24.0348253791369
1902-08-01,16.3415512597653
1902-09-01,12.4792423427562
1902-10-01,13.105292162724
1902-11-01,7.03940417274187
1902-12-01,17.3485169474859
1903-01-01,17.4873183511098
1903-02-01,25.3933446395766
1903-03-01,19.0256589581698
1903-04-01,33.5681869277778
1903-05-01,35.7359715013747
1903-06-01,23.8871052344688
1903-07-01,24.2269150909958
1903-08-01,22.9597916250833
1903-09-01,14.577734948328
1903-10-01,18.1916398377194
1903-11-01,41.0680396975163
1903-12-01,29.6155340305265
1904-01-01,17.0844845559996
1904-02-01,28.7724504167583
1904-03-01,29.0322632031857
1904-04-01,30.0770937336363
1904-05-01,26.819649755963
1904-06-01,14.976805102242
1904-07-01,6.89513980614695
1904-08-01,6.64291042874362
1904-09-01,6.13001332210549
1904-10-01,10.6182533254344
1904-11-01,18.5618524947501
1904-12-01,23.8692379634144
1905-01-01,21.2291614354688
1905-02-01,38.4978704036266
1905-03-01,50.0538695692328
1905-04-01,45.2472965584277
1905-05-01,35.5014754747407
1905-06-01,15.6213218535736
1905-07-01,11.0542480033459
1905-08-01,12.7674802064007
1905-09-01,11.5641831350495
1905-10-01,15.3091211992573
1905-11-01,22.5718212930603
1905-12-01,24.5256683155615
1906-01-01,23.4205141179962
1906-02-01,19.8529559149798
1906-03-01,45.7571362544134
1906-04-01,40.3180682776045
1906-05-01,23.3054116324185
1906-06-01,23.4486595697907
1906-07-01,21.156977782413
1906-08-01,15.1951756036247
1906-09-01,27.9903061731859
1906-10-01,19.5301154415088
1906-11-01,16.2633774809579
1906-12-01,15.9144709313461
1907-01-01,30.0724071711845
1907-02-01,24.4369736816633
1907-03-01,51.0679255675401
1907-04-01,43.5162170057985
1907-05-01,24.4625157567142
1907-06-01,16.5211633022029
1907-07-01,29.4597057188293
1907-08-01,21.0106785891477
1907-09-01,12.2712411879048
1907-10-01,8.72186817654887
1907-11-01,6.97189646425865
1907-12-01,15.9087777145894
1908-01-01,14.3509043749849
1908-02-01,22.0368375497109
1908-03-01,22.3371473713073
1908-04-01,25.2961705698976
1908-05-01,24.4955508434828
1908-06-01,13.9658364026856
1908-07-01,13.7282968491802
1908-08-01,15.5533563779057
1908-09-01,12.50083315324
1908-10-01,6.409206527192
1908-11-01,6.74535910185798
1908-12-01,5.53515066860153
1909-01-01,6.04033345723776
1909-02-01,12.388637521312
1909-03-01,19.4100647192689
1909-04-01,24.0077774025589
1909-05-01,38.1351087891334
1909-06-01,24.236700468667
1909-07-01,35.0090042371809
1909-08-01,21.5923104750362
1909-09-01,13.978285915316
1909-10-01,11.2189406709546
1909-11-01,14.4459184402017
1909-12-01,27.2755237966701
1910-01-01,29.3858793423536
1910-02-01,22.2116864353433
1910-03-01,22.1363470161167
1910-04-01,22.9598575404588
1910-05-01,39.3532265507938
1910-06-01,33.9740639353798
1910-07-01,30.8499260405285
1910-08-01,26.915543451906
1910-09-01,36.4366631755707
1910-10-01,23.3011760535989
1910-11-01,46.4616110226194
1910-12-01,39.3236910584633
1911-01-01,27.0501799293146
1911-02-01,33.1006001809577
1911-03-01,38.5559155320768
1911-04-01,29.7771024915159
1911-05-01,31.9321139953219
1911-06-01,15.5229943241553
1911-07-01,8.09875485964018
1911-08-01,6.20711148377891
1911-09-01,5.28182808268329
1911-10-01,5.73539131520066
1911-11-01,6.09491725220298
1911-12-01,10.3676271392718
1912-01-01,9.79359600681228
1912-02-01,18.822673785013
1912-03-01,27.3917520789655
1912-04-01,24.8317832195807
1912-05-01,28.2521606860715
1912-06-01,29.5975071911765
1912-07-01,23.0567009315772
1912-08-01,27.9554196397713
1912-09-01,32.7663968093929
1912-10-01,25.9456188063399
1912-11-01,34.0150578232943
1912-12-01,33.441394059312
1913-01-01,21.366903694556
1913-02-01,18.3740798968459
1913-03-01,24.0026369533777
1913-04-01,22.4983938585672
1913-05-01,19.7454032799927
1913-06-01,19.5153764425306
1913-07-01,23.4842159760572
1913-08-01,32.234181004739
1913-09-01,21.4808086536231
1913-10-01,13.0105121101452
1913-11-01,20.0450768660306
1913-12-01,44.2492150534824
1914-01-01,23.3805572525943
1914-02-01,18.491372571867
1914-03-01,41.0959533991339
1914-04-01,23.7315311860452
1914-05-01,23.4829485022354
1914-06-01,20.9995846532825
1914-07-01,19.7934538567526
1914-08-01,13.4291536785161
1914-09-01,15.6118213261984
1914-10-01,16.1049446363207
1914-11-01,13.1989637348748
1914-12-01,17.5683955809135
1915-01-01,34.9514982950086
1915-02-01,21.8475309365594
1915-03-01,46.437630824817
1915-04-01,44.9752821949687
1915-05-01,21.9874714026751
1915-06-01,10.3534304053947
1915-07-01,12.6452623810597
1915-08-01,18.5258461428061
1915-09-01,22.3290620913102
1915-10-01,36.1004881915668
1915-11-01,33.3193382408155
1915-12-01,50.5033756477732
1916-01-01,63.9214146993895
1916-02-01,43.2143776489744
1916-03-01,46.0071979101711
1916-04-01,37.3109978929454
1916-05-01,24.3033469774689
1916-06-01,33.1671050058639
1916-07-01,28.3135849687726
1916-08-01,22.9719399288844
1916-09-01,16.6675707090087
1916-10-01,15.4586617222972
1916-11-01,13.6890365885245
1916-12-01,23.7282129092982
1917-01-01,27.706130429207
1917-02-01,12.0738546449145
1917-03-01,22.6623514583541
1917-04-01,51.1546849375722
1917-05-01,25.6614232204049
1917-06-01,8.02411316559978
1917-07-01,6.0792621085017
