date,value
1948-01-01,26.4670568642141
1948-02-01,31.6205557448513
1948-03-01,59.7635318589396
1948-04-01,95.0730052850795
1948-05-01,119.783025128648
1948-06-01,119.307850270276
1948-07-01,130.934834922309
1948-08-01,108.453899042772
1948-09-01,63.9096201028726
1948-10-01,31.1431337856387
1948-11-01,20.6568906335361
1948-12-01,5.91681000521608
1949-01-01,17.9591620482818
1949-02-01,31.1461496076789
1949-03-01,60.0279738428185
1949-04-01,93.6898339953547
1949-05-01,111.312034114346
1949-06-01,117.994376667734
1949-07-01,126.971971965275
1949-08-01,110.40082351693
1949-09-01,70.6378857167933
1949-10-01,26.368524067061
1949-11-01,19.7828611058766
1949-12-01,18.4431625015691
1950-01-01,18.4692314235604
1950-02-01,36.1144747798814
1950-03-01,54.4178935592842
1950-04-01,92.3187817487567
1950-05-01,121.909136730116
1950-06-01,133.658801714268
1950-07-01,139.60447406896
1950-08-01,110.042226307424
1950-09-01,84.4442242101241
1950-10-01,43.4960858061452
1950-11-01,26.7372940679439
1950-12-01,10.4266184864625
1951-01-01,18.0020922363914
1951-02-01,25.1596785393845
1951-03-01,59.7510849419984
1951-04-01,82.4202834357505
1951-05-01,114.92848983982
1951-06-01,123.856246391747
1951-07-01,127.466132516621
1951-08-01,112.082891770104
1951-09-01,79.0889261897832
1951-10-01,33.2379485153301
1951-11-01,31.6459001151414
1951-12-01,17.5762129989698
1952-01-01,24.2460356401315
1952-02-01,24.1293107017304
1952-03-01,53.0766094534713
1952-04-01,90.4106060826748
1952-05-01,117.247749343419
1952-06-01,132.186264946781
1952-07-01,116.677862619482
1952-08-01,103.170865439954
1952-09-01,79.228598936048
1952-10-01,38.1034039638535
1952-11-01,21.8386789085105
1952-12-01,8.01074428435606
1953-01-01,12.7647629826521
1953-02-01,27.7084055948256
1953-03-01,65.6237736684895
1953-04-01,84.4679529805647
1953-05-01,110.077495299185
1953-06-01,122.586754899241
1953-07-01,137.788868877196
1953-08-01,106.554192839332
1953-09-01,62.922792353836
1953-10-01,29.0643438728486
1953-11-01,19.0226436560866
1953-12-01,8.94408781778335
1954-01-01,22.894458907754
1954-02-01,22.0213942393023
1954-03-01,53.7176027817814
1954-04-01,77.3295768561757
1954-05-01,112.492374498018
1954-06-01,130.2254485827
1954-07-01,134.190766995136
1954-08-01,116.667465872461
1954-09-01,79.1676539501453
1954-10-01,41.1376774540216
1954-11-01,14.964247885886
1954-12-01,16.9135484887177
1955-01-01,9.67622153184206
1955-02-01,22.9570607381372
1955-03-01,47.9891583647168
1955-04-01,76.8277505018489
1955-05-01,111.541643981287
1955-06-01,124.662610579036
1955-07-01,126.683038563833
1955-08-01,107.802116528123
1955-09-01,73.4900508524011
1955-10-01,38.2661817625027
1955-11-01,14.0257099042463
1955-12-01,17.7344566525485
1956-01-01,20.3428926876839
1956-02-01,13.1841841001562
1956-03-01,56.9297634147408
1956-04-01,77.0007923864462
1956-05-01,112.998544653963
1956-06-01,123.604339536141
1956-07-01,131.704187625332
1956-08-01,114.42002449864
1956-09-01,73.5730137416706
1956-10-01,40.6737037695454
1956-11-01,20.5490100566621
1956-12-01,10.4549399823438
1957-01-01,10.6269813219584
1957-02-01,29.057091039085
1957-03-01,58.0317130247867
1957-04-01,83.4009047769043
1957-05-01,106.882645500642
1957-06-01,131.295595516456
1957-07-01,134.76250289724
1957-08-01,113.919605507029
1957-09-01,82.7335160046236
1957-10-01,29.5217137924244
1957-11-01,18.1520702331538
1957-12-01,10.7355002010063
1958-01-01,20.2984194616508
1958-02-01,40.5511433310326
1958-03-01,28.4089615110977
1958-04-01,78.2701900432828
1958-05-01,119.288480755889
1958-06-01,126.852362023205
1958-07-01,135.427911863925
1958-08-01,112.152252641424
1958-09-01,75.1234707107034
1958-10-01,42.860377332513
1958-11-01,11.6792708449482
1958-12-01,15.6595387278004
1959-01-01,18.7791197236194
1959-02-01,13.5883126046673
1959-03-01,53.3342787039763
1959-04-01,94.2682488224802
1959-05-01,122.705690539591
1959-06-01,125.00433080937
1959-07-01,127.270131407953
1959-08-01,107.862787500198
1959-09-01,59.2542481305785
1959-10-01,32.5573778603221
1959-11-01,15.0275583549194
1959-12-01,14.2545172840638
1960-01-01,12.3045334409184
1960-02-01,24.3471694318293
1960-03-01,56.0658847422595
1960-04-01,83.0507585455993
1960-05-01,113.693828524839
1960-06-01,130.985034149876
1960-07-01,125.871760758475
1960-08-01,109.95618408449
1960-09-01,72.8561486761743
1960-10-01,52.215261516438
1960-11-01,23.5065331716227
1960-12-01,17.4800824321758
1961-01-01,13.3038323650241
1961-02-01,23.7772468269625
1961-03-01,66.8238745128394
1961-04-01,95.694059913923
1961-05-01,113.337586471279
1961-06-01,126.74121412824
1961-07-01,129.813285785081
1961-08-01,110.48822583735
1961-09-01,75.1198287010681
1961-10-01,43.346245571477
1961-11-01,19.3511978186398
1961-12-01,17.4820017583215
1962-01-01,24.7507707276112
1962-02-01,26.3857573830464
1962-03-01,51.5176172195702
1962-04-01,95.6013158689219
1962-05-01,113.601932238866
1962-06-01,127.685459893201
1962-07-01,122.755000501281
1962-08-01,103.850465521006
1962-09-01,71.8179472343828
1962-10-01,28.6380846259634
1962-11-01,22.0754398698029
1962-12-01,12.8793350311258
1963-01-01,9.83194388978513
1963-02-01,10.8445134509424
1963-03-01,53.7469840052404
1963-04-01,84.5525907167899
1963-05-01,114.488845250434
1963-06-01,138.673164938236
1963-07-01,130.104834772806
1963-08-01,115.192767181793
1963-09-01,81.420708037862
1963-10-01,42.5842531733684
1963-11-01,40.2867632791057
