date,value,name,type
1969-05-01,59.1018450474258,TerraClimate,Model forcing
1969-06-01,123.909253297095,TerraClimate,Model forcing
1969-07-01,42.6896095420221,TerraClimate,Model forcing
1969-08-01,83.3651614540987,TerraClimate,Model forcing
1969-09-01,26.797424602575,TerraClimate,Model forcing
1969-10-01,15.9446350241969,TerraClimate,Model forcing
1969-11-01,51.4725035657964,TerraClimate,Model forcing
1969-12-01,34.6869348372281,TerraClimate,Model forcing
1970-01-01,19.3535748757698,TerraClimate,Model forcing
1970-02-01,79.3028825196943,TerraClimate,Model forcing
1970-03-01,44.0435286330403,TerraClimate,Model forcing
1970-04-01,55.3077421043455,TerraClimate,Model forcing
1970-05-01,53.7965268000708,TerraClimate,Model forcing
1970-06-01,87.3271052666882,TerraClimate,Model forcing
1970-07-01,83.8986477626976,TerraClimate,Model forcing
1970-08-01,142.488582466603,TerraClimate,Model forcing
1970-09-01,29.7059300503662,TerraClimate,Model forcing
1970-10-01,63.9563881460622,TerraClimate,Model forcing
1970-11-01,68.0762579980218,TerraClimate,Model forcing
1970-12-01,42.022221407197,TerraClimate,Model forcing
1971-01-01,15.1519929490784,TerraClimate,Model forcing
1971-02-01,28.3996566391752,TerraClimate,Model forcing
1971-03-01,36.4487259197738,TerraClimate,Model forcing
1971-04-01,32.9941509816906,TerraClimate,Model forcing
1971-05-01,84.2818557123588,TerraClimate,Model forcing
1971-06-01,118.140463576128,TerraClimate,Model forcing
1971-07-01,40.5903046567287,TerraClimate,Model forcing
1971-08-01,71.2332386056862,TerraClimate,Model forcing
1971-09-01,47.1086636249666,TerraClimate,Model forcing
1971-10-01,23.71382749806,TerraClimate,Model forcing
1971-11-01,55.5484896548152,TerraClimate,Model forcing
1971-12-01,33.2018346499563,TerraClimate,Model forcing
1972-01-01,28.0373393470865,TerraClimate,Model forcing
1972-02-01,22.8074998490619,TerraClimate,Model forcing
1972-03-01,20.752698351134,TerraClimate,Model forcing
1972-04-01,75.3435026212356,TerraClimate,Model forcing
1972-05-01,93.1845718975407,TerraClimate,Model forcing
1972-06-01,84.8216908678241,TerraClimate,Model forcing
1972-07-01,127.200335409495,TerraClimate,Model forcing
1972-08-01,65.8221571087422,TerraClimate,Model forcing
1972-09-01,51.0704722993765,TerraClimate,Model forcing
1972-10-01,20.1438097949066,TerraClimate,Model forcing
1972-11-01,39.8811025368539,TerraClimate,Model forcing
1972-12-01,5.9304952404614,TerraClimate,Model forcing
1973-01-01,25.1717566615791,TerraClimate,Model forcing
1973-02-01,39.6948522982096,TerraClimate,Model forcing
1973-03-01,25.6117284641686,TerraClimate,Model forcing
1973-04-01,57.3210671852206,TerraClimate,Model forcing
1973-05-01,49.1393333786551,TerraClimate,Model forcing
1973-06-01,82.5602793742934,TerraClimate,Model forcing
1973-07-01,87.6127771296464,TerraClimate,Model forcing
1973-08-01,32.5152856747817,TerraClimate,Model forcing
1973-09-01,44.4176802683357,TerraClimate,Model forcing
1973-10-01,37.1225785463838,TerraClimate,Model forcing
1973-11-01,40.0718110802125,TerraClimate,Model forcing
1973-12-01,32.6051435102035,TerraClimate,Model forcing
1974-01-01,47.1883380208807,TerraClimate,Model forcing
1974-02-01,31.4519566639829,TerraClimate,Model forcing
1974-03-01,20.2487361340225,TerraClimate,Model forcing
1974-04-01,18.7690835017506,TerraClimate,Model forcing
1974-05-01,94.2135880327557,TerraClimate,Model forcing
1974-06-01,108.943080849838,TerraClimate,Model forcing
1974-07-01,99.0173462707143,TerraClimate,Model forcing
